数据集,预测长度,DLinear,iTransformer,mr-Diff,SimDiff,改进版 SimDiff
ETTh1(OT),48,5.566730 / 1.792192,5.750392 / 1.875543,,,2.391751 / 1.169282
ETTh1(OT),72,,,,,
ETTh1(OT),168,,,,,
ETTh1(OT),192,,,,,
ETTm1(OT),48,,,,,
ETTm1(OT),72,,,,,
ETTm1(OT),168,,,,,
ETTm1(OT),192,,,,,
Exchange(USD),48,,,,,
Exchange(USD),72,,,,,
Exchange(USD),168,,,,,
Exchange(USD),192,,,,,
Weather(Temp),48,3.063846 / 1.214358,3.293931 / 1.302845,,0.742116 / 0.572760,
Weather(Temp),72,,,,,
Weather(Temp),168,,,,,
Weather(Temp),192,,,,,
Wind(Speed),48,,,,,
Wind(Speed),72,,,,,
Wind(Speed),168,,,,,
Wind(Speed),192,,,,,
